,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,record_count,multiple_records
2006-09-30,P09539,Adyar,1089,82,1.0,1.0,3,family,yes,1985-10-24,others,nosewr ,no access,i,2.8,5.0,3.7,3.69,326257,85857,8585715,1,0
2006-10-01,P09540,Chrompet,1203,78,2.0,1.0,4,adjland,yes,1978-10-26,commercial,allpub,no access,rm,4.0,3.2,4.5,3.83,403326,119504,14938000,1,0
2006-10-02,P09538,Chrompet,1274,195,2.0,1.0,4,partial,no,2000-10-21,others,allpub,gravel,rm,4.8,2.7,4.4,3.84,349986,67739,11289880,1,0
2006-10-03,P09566,Velachery,1543,55,2.0,1.0,4,normal sale,no,1959-10-15,commercial,elo,no access,rm,3.8,4.5,2.2,3.64,425726,206413,12900790,1,0
2006-10-04,P09534,Adyar,1051,38,1.0,1.0,3,adjland,no,1978-10-28,others,elo,gravel,c,2.6,4.0,3.4,3.28,291262,121359,8090620,1,0
2006-10-05,P09533,Velachery,1999,45,3.0,2.0,5,adjland,yes,1988-10-25,commercial,nosewa,paved,rm,2.8,4.5,2.2,3.39,713650,329377,18298710,1,0
2006-10-06,P09529,Adyar,856,144,1.0,1.0,3,abnormal,yes,1999-10-26,house,allpub,gravel,rl,3.0,5.0,3.2,3.5,395752,89044,9893805,1,0
2006-10-07,P09522,Velachery,1552,45,2.0,1.0,4,family,no,1988-10-30,commercial,nosewr ,no access,i,4.2,3.9,4.7,4.22,475240,166334,11881010,1,0
2006-10-08,P09524,Chrompet,1014,83,1.0,1.0,3,adjland,yes,1971-11-04,house,nosewr ,paved,rl,3.2,2.3,2.8,2.72,266123,91767,9176650,1,0
2006-10-09,P09521,T Nagar,1921,168,2.0,1.0,5,normal sale,yes,1994-10-30,commercial,elo,gravel,rm,3.7,3.6,4.3,3.945,743923,348714,23247590,1,0
2006-10-10,P09563,Chrompet,833,173,1.0,1.0,3,partial,no,2001-10-11,commercial,nosewa,paved,rh,4.3,2.0,2.0,2.69,276935,138468,9890550,1,0
2006-10-11,P09516,Velachery,1524,38,2.0,1.0,4,normal sale,no,1975-11-06,house,nosewr ,gravel,rh,4.7,2.1,4.8,3.56,304053,95559,8687220,1,0
2006-10-12,P09556,Adyar,779,51,1.0,1.0,2,normal sale,no,1997-10-14,house,nosewr ,no access,c,3.6,4.4,2.4,3.16,190463,31744,5290635,1,0
2006-10-13,P09554,Adyar,887,7,1.0,1.0,3,abnormal,yes,1997-10-15,commercial,elo,paved,i,2.7,2.6,3.8,3.23,388801,160095,11435335,1,0
2006-10-14,P09552,T Nagar,1667,6,1.0,1.0,4,partial,no,2000-10-15,others,elo,no access,rh,4.5,4.1,3.2,3.815,399083,125426,11402380,1,0
2006-10-15,P09551,T Nagar,1722,166,1.0,1.0,4,abnormal,no,1992-10-18,house,nosewr ,gravel,rh,3.1,3.3,3.5,3.33,324836,180465,12030980,1,0
2006-10-16,P09550,Anna Nagar,1562,8,1.0,1.0,4,normal sale,yes,1990-10-20,commercial,nosewr ,gravel,rm,2.5,2.4,2.6,2.515,539238,279605,19971770,1,0
2006-10-17,P09545,Adyar,985,50,1.0,1.0,3,partial,no,1975-10-25,commercial,nosewa,paved,rl,4.5,2.9,4.0,3.93,392828,71423,11903865,1,0
2006-10-18,P09544,Anna Nagar,1721,171,1.0,1.0,4,abnormal,no,1975-10-26,others,elo,no access,rh,2.3,3.6,2.3,2.625,373817,90622,11327800,1,0
2006-10-19,P09541,Anna Nagar,1864,67,2.0,1.0,5,family,no,1967-10-29,commercial,nosewr ,paved,rm,4.9,2.9,4.5,4.24,620753,310377,20691780,1,0
2006-10-20,P09537,Adyar,1182,187,1.0,1.0,3,abnormal,yes,1977-10-27,commercial,nosewa,paved,rm,4.6,2.7,2.9,3.37,507838,153890,15389035,1,0
2006-10-21,P09536,Anna Nagar,1847,30,2.0,1.0,5,abnormal,yes,1994-10-24,others,elo,paved,rm,2.0,3.8,4.7,3.53,614262,261061,15356550,1,0
2006-10-22,P09531,Chrompet,1058,19,1.0,1.0,3,partial,yes,1971-10-31,house,nosewa,no access,rh,2.6,4.0,4.8,3.82,233915,120730,7545650,1,0
2006-10-23,P09530,Chrompet,1047,42,1.0,1.0,3,abnormal,yes,1969-11-01,others,nosewr ,no access,rl,4.5,3.2,4.5,3.98,298688,81460,9051140,1,0
2006-10-24,P09528,Velachery,1796,176,2.0,1.0,4,adjland,yes,1956-11-05,house,elo,no access,rh,4.8,2.1,3.8,3.29,318687,118370,9105350,1,0
2006-10-25,P09526,Chrompet,832,98,1.0,1.0,3,abnormal,yes,1989-10-29,house,elo,paved,rl,3.6,4.9,3.9,4.21,278796,25345,8448350,1,0
2006-10-26,P09523,Adyar,764,105,1.0,1.0,2,adjland,yes,1979-11-02,house,allpub,no access,c,4.1,4.2,4.1,4.12,226531,90612,6472305,1,0
2006-10-27,P09520,Adyar,713,60,1.0,1.0,2,adjland,no,1969-11-05,others,nosewr ,gravel,i,4.9,3.0,3.7,3.92,235892,85779,7148255,1,0
2006-10-28,P09519,Anna Nagar,1692,128,1.0,1.0,4,partial,no,1990-11-01,commercial,elo,paved,rh,2.0,3.0,4.8,3.37,679243,142999,17874820,1,0
2006-10-29,P09517,Velachery,1794,158,2.0,1.0,4,adjland,no,1977-11-05,others,elo,gravel,rh,3.8,4.4,2.1,3.56,314564,167768,10485480,1,0
2006-10-30,P09515,T Nagar,1743,197,1.0,1.0,4,abnormal,no,1963-11-10,commercial,elo,gravel,rm,2.3,4.2,3.5,3.315,598641,279366,19954710,1,0
2006-10-31,P09509,Chrompet,824,166,1.0,1.0,3,adjland,yes,2000-11-01,commercial,nosewr ,no access,rl,3.6,2.4,4.1,3.27,370243,115701,11570100,1,0
2006-11-01,P09506,Velachery,1890,66,3.0,2.0,5,family,yes,1999-11-03,commercial,nosewr ,paved,i,3.7,4.5,3.4,3.97,491376,206061,15850840,1,0
2006-11-02,P09513,Chrompet,1031,42,1.0,1.0,3,adjland,no,1992-11-02,commercial,allpub,gravel,rh,2.9,4.8,3.9,3.96,329402,215378,12669300,1,0
2006-11-03,P09505,Velachery,1944,2,3.0,2.0,5,abnormal,no,1965-11-13,house,allpub,paved,i,2.4,3.5,3.3,3.17,309294,132555,8836970,1,0
2006-11-04,P09512,Adyar,831,139,1.0,1.0,3,family,no,1993-11-02,others,nosewr ,no access,rl,2.2,2.1,3.8,2.98,262272,77139,7713895,1,0
2006-11-05,P09514,Chrompet,1002,70,1.0,1.0,3,abnormal,yes,1998-11-01,others,nosewa,no access,rm,4.3,4.6,4.4,4.45,327615,168772,9927740,1,0
2006-11-06,P09503,Anna Nagar,1875,40,2.0,1.0,5,adjland,yes,1998-11-08,house,elo,gravel,rl,4.2,4.4,2.6,3.61,556330,248884,14640260,1,0
2006-11-07,P09500,Chrompet,963,64,1.0,1.0,3,partial,yes,2002-11-08,commercial,elo,paved,rl,3.0,4.4,2.7,3.47,338332,100246,12530800,1,0
2006-11-08,P09497,Chrompet,1244,68,2.0,1.0,4,family,yes,1981-11-14,commercial,nosewr ,no access,rm,3.5,3.7,2.3,3.22,426409,249964,14703750,1,0
2006-11-09,P09508,Adyar,659,110,1.0,1.0,2,family,yes,1981-11-06,house,allpub,gravel,rh,4.7,3.0,3.6,3.81,270163,7946,7945975,1,0
2006-11-10,P09510,T Nagar,1809,192,2.0,1.0,5,family,no,1993-11-03,commercial,nosewr ,paved,rl,3.9,2.2,3.1,3.115,621070,280483,20034510,1,0
2006-11-11,P09507,Chrompet,1074,140,1.0,1.0,3,abnormal,yes,1976-11-08,commercial,allpub,paved,rm,3.3,4.5,2.3,3.48,435516,168587,14048900,1,0
2006-11-12,P09491,Chrompet,1103,26,1.0,1.0,3,partial,yes,1995-11-15,commercial,nosewr ,no access,rm,2.9,2.5,4.1,3.1,408662,40866,13622050,1,0
2006-11-13,P09488,Velachery,1809,90,3.0,2.0,5,adjland,no,1962-11-24,others,nosewa,gravel,rl,4.9,4.0,4.2,4.29,354441,232602,11076280,1,0
2006-11-14,P09501,Velachery,1626,130,2.0,1.0,4,adjland,yes,1962-11-17,commercial,nosewr ,no access,a,2.1,5.0,2.4,3.5,482493,144748,12062330,1,0
2006-11-15,P09502,Chrompet,1181,12,1.0,1.0,3,family,no,1990-11-10,others,nosewa,gravel,rl,2.6,4.3,2.6,3.28,246189,98476,9847570,1,0
2006-11-16,P09485,Chrompet,1217,140,2.0,1.0,4,abnormal,no,1969-11-25,house,nosewr ,paved,rl,4.8,4.0,4.1,4.27,238392,44147,8829350,1,0
2006-11-17,P09484,Adyar,850,179,1.0,1.0,3,partial,no,1986-11-22,house,nosewr ,paved,i,5.0,4.9,4.4,4.68,223553,52601,6575100,1,0
2006-11-18,P09482,Chrompet,910,178,1.0,1.0,3,normal sale,yes,1983-11-24,house,nosewa,paved,rm,3.5,2.5,2.1,2.68,303146,45931,9186250,1,0
2006-11-19,P09475,Adyar,626,27,1.0,1.0,2,adjland,no,1974-11-27,others,allpub,gravel,rl,2.1,3.3,4.6,3.59,326927,16346,8173180,1,0
2006-11-20,P09473,Adyar,790,102,1.0,1.0,2,adjland,no,1966-11-30,house,elo,gravel,rh,4.2,3.1,2.5,3.13,256547,43979,7329900,3,1
2006-11-20,P09474,T Nagar,1667,60,1.0,1.0,4,partial,yes,1989-11-24,others,nosewa,no access,rm,4.7,4.8,2.1,3.555,336900,134760,13476000,3,1
2006-11-20,P09472,Velachery,1593,37,2.0,1.0,4,adjland,no,1985-11-25,commercial,nosewa,gravel,rl,3.7,2.3,2.5,2.71,523675,130919,14546520,3,1
2006-11-21,P09470,Adyar,912,181,1.0,1.0,3,partial,yes,1990-11-25,commercial,nosewa,no access,a,4.0,4.2,2.0,3.04,345959,93502,9350240,1,0
2006-11-22,P09469,Chrompet,1138,50,1.0,1.0,3,abnormal,yes,1979-11-29,others,nosewr ,gravel,rh,2.2,4.1,2.8,3.14,321034,90291,10032310,1,0
2006-11-23,P09466,Velachery,1649,121,2.0,1.0,4,partial,yes,1980-11-29,commercial,nosewa,gravel,a,5.0,3.8,2.9,3.83,428697,181871,12990820,1,0
2006-11-24,P09464,Velachery,1733,0,2.0,1.0,4,abnormal,no,1952-12-07,commercial,nosewa,no access,a,3.3,3.7,2.3,3.18,341368,88095,11011880,1,0
2006-11-25,P09462,Velachery,1618,8,2.0,1.0,4,normal sale,no,1958-12-07,commercial,allpub,paved,a,4.2,4.5,3.7,4.19,458492,91698,11462310,1,0
2006-11-26,P09492,T Nagar,1538,133,1.0,1.0,4,abnormal,no,1988-11-16,commercial,nosewa,no access,rm,2.5,2.2,2.3,2.335,614614,122923,17560410,1,0
2006-11-27,P09489,T Nagar,1697,19,1.0,1.0,4,normal sale,yes,1996-11-15,others,nosewa,paved,rl,4.4,2.2,3.6,3.49,550743,70608,14121610,1,0
2006-11-28,P09460,Chrompet,964,150,1.0,1.0,3,abnormal,yes,1967-12-08,house,nosewa,gravel,rh,4.2,4.7,2.5,3.89,270734,143828,8460450,2,1
2006-11-28,P09461,T Nagar,1911,194,2.0,1.0,5,abnormal,no,1976-12-05,commercial,nosewa,gravel,rl,3.3,2.9,4.8,3.875,594167,339524,21220250,2,1
2006-11-29,P09457,Chrompet,947,47,1.0,1.0,3,normal sale,no,1987-12-04,others,elo,gravel,rm,4.8,4.2,4.4,4.44,267586,38227,9556640,4,1
2006-11-29,P09459,Chrompet,833,194,1.0,1.0,3,normal sale,yes,1970-12-08,commercial,elo,no access,rm,3.3,3.2,4.8,3.71,360506,112658,11265800,4,1
2006-11-29,P09458,Chrompet,1129,198,1.0,1.0,3,normal sale,yes,1989-12-03,house,nosewa,gravel,rl,2.8,2.1,4.8,3.12,321822,140797,10056950,4,1
2006-11-29,P09456,Adyar,1215,12,2.0,2.0,4,family,yes,1981-12-05,house,nosewa,gravel,rl,4.1,4.4,2.8,3.51,407663,75096,10727975,4,1
2006-11-30,P09451,Velachery,1656,25,2.0,1.0,4,abnormal,yes,1998-12-02,commercial,nosewa,gravel,c,5.0,2.9,3.0,3.46,538772,170139,14178210,5,1
2006-11-30,P09452,Adyar,640,120,1.0,1.0,2,adjland,yes,1977-12-07,commercial,elo,no access,i,4.4,4.3,2.4,3.38,305870,131087,8739135,5,1
2006-11-30,P09449,Velachery,1726,40,2.0,1.0,4,partial,yes,1987-12-05,commercial,allpub,paved,i,3.9,4.2,3.2,3.83,448605,202596,14471130,5,1
2006-11-30,P09450,Velachery,1743,6,2.0,1.0,4,adjland,yes,1962-12-11,others,nosewa,gravel,a,2.8,3.9,4.7,3.87,281771,93924,9392380,5,1
2006-11-30,P09453,Chrompet,1032,153,1.0,1.0,3,normal sale,no,1973-12-08,commercial,nosewa,gravel,rh,2.1,3.4,3.0,2.89,373758,140159,11679950,5,1
2006-12-01,P09445,Velachery,1726,29,2.0,1.0,4,abnormal,yes,1988-12-05,house,elo,no access,c,4.1,2.4,3.9,3.28,312063,144029,8001610,4,1
2006-12-01,P09446,Adyar,848,125,1.0,1.0,3,abnormal,no,1986-12-06,others,nosewr ,gravel,a,3.4,4.8,4.9,4.43,264736,19855,6618400,4,1
2006-12-01,P09448,T Nagar,1519,91,1.0,1.0,4,adjland,no,1986-12-06,others,nosewr ,gravel,rh,3.9,2.0,2.1,2.615,332986,209658,12332820,4,1
2006-12-01,P09447,Chrompet,1147,191,1.0,1.0,3,partial,no,1970-12-10,commercial,elo,gravel,rm,2.4,2.7,3.0,2.7,428262,173982,13383200,4,1
2006-12-02,P09490,Anna Nagar,1951,120,2.0,1.0,5,family,yes,1970-11-22,commercial,elo,no access,rh,2.7,3.0,2.4,2.655,527076,222994,20272170,1,0
2006-12-03,P09444,Velachery,1527,122,2.0,1.0,4,abnormal,no,1990-12-07,commercial,nosewa,paved,c,2.9,2.6,3.9,3.07,444960,210770,11709470,1,0
2006-12-04,P09483,T Nagar,1882,189,2.0,1.0,5,abnormal,yes,1985-11-23,others,elo,gravel,rm,3.9,4.5,4.7,3.5,433393,272877,16051580,1,0
2006-12-05,P09439,Velachery,1633,9,2.0,1.0,4,adjland,yes,1969-12-14,others,nosewa,no access,i,3.7,4.5,2.5,3.7,282955,182552,9127590,4,1
2006-12-05,P09441,Adyar,729,90,1.0,1.0,2,normal sale,no,1996-12-07,others,allpub,no access,rh,3.0,4.0,2.4,2.9,212460,89096,6853550,4,1
2006-12-05,P09440,Velachery,1544,185,2.0,1.0,4,adjland,yes,1954-12-18,house,nosewr ,no access,c,3.0,4.0,3.1,3.48,220795,66239,7359840,4,1
2006-12-05,P09443,Chrompet,947,110,1.0,1.0,3,family,yes,1966-12-15,commercial,elo,paved,rl,3.0,3.3,2.9,3.09,320431,189885,11867800,4,1
2006-12-06,P09477,T Nagar,1545,58,1.0,1.0,4,family,no,1975-11-27,commercial,allpub,no access,rl,2.2,3.2,2.7,2.675,454649,286261,16838870,1,0
2006-12-07,P09438,Adyar,1261,144,2.0,2.0,4,adjland,yes,1967-12-17,others,nosewr ,paved,c,4.7,4.3,2.3,3.42,337865,57920,9653285,1,0
2006-12-08,P09435,Adyar,846,77,1.0,1.0,3,family,no,1978-12-15,commercial,nosewa,paved,a,3.3,2.7,3.2,3.13,303319,92681,8425520,2,1
2006-12-08,P09436,Adyar,873,67,1.0,1.0,3,partial,no,1973-12-16,commercial,elo,gravel,rm,4.3,3.9,4.7,4.42,399300,84700,12099995,2,1
2006-12-09,P09434,Chrompet,1097,132,1.0,1.0,3,partial,no,1984-12-14,house,allpub,gravel,rl,4.2,2.5,2.2,2.92,228595,35168,8792100,1,0
2006-12-10,P09433,Chrompet,808,39,1.0,1.0,3,normal sale,no,1999-12-12,commercial,nosewr ,no access,rh,3.3,3.0,4.8,3.63,314954,95441,9544050,1,0
2006-12-11,P09427,Velachery,1960,8,3.0,2.0,5,adjland,no,1982-12-17,house,allpub,gravel,rl,5.0,4.9,4.9,4.93,387642,114012,11401230,2,1
2006-12-11,P09429,Chrompet,951,1,1.0,1.0,3,abnormal,no,1993-12-14,commercial,nosewa,no access,rh,3.5,2.6,2.8,2.93,267887,123640,10303350,2,1
2006-12-12,P09425,Velachery,1536,65,2.0,1.0,4,adjland,no,1957-12-24,house,elo,no access,rh,5.0,4.7,4.3,4.66,232346,67455,7495030,2,1
2006-12-12,P09426,Velachery,1533,62,2.0,1.0,4,abnormal,yes,1958-12-24,others,allpub,no access,rl,4.4,2.4,4.1,3.41,383116,67045,9577910,2,1
2006-12-13,P09423,Chrompet,787,162,1.0,1.0,2,partial,yes,1976-12-20,commercial,nosewa,no access,rm,3.4,4.3,4.4,4.06,311799,182779,10751700,1,0
2006-12-14,P09422,Adyar,784,17,1.0,1.0,2,adjland,no,1983-12-20,house,nosewr ,gravel,rm,4.8,2.0,2.6,3.14,352718,90440,9044045,1,0
2006-12-15,P09420,Chrompet,1173,198,1.0,1.0,3,partial,yes,1995-12-18,house,nosewa,no access,rm,3.0,3.0,2.8,2.94,258192,114752,9562650,2,1
2006-12-15,P09419,Velachery,1617,82,2.0,1.0,4,normal sale,no,1959-12-27,commercial,allpub,no access,rl,3.0,3.0,3.6,3.18,416472,169192,13014740,2,1
2006-12-16,P09417,T Nagar,1960,53,2.0,1.0,5,adjland,no,1999-12-18,others,nosewr ,no access,rl,4.7,2.0,3.0,3.26,518959,245064,14415540,4,1
2006-12-16,P09415,Adyar,786,197,1.0,1.0,2,family,no,1975-12-24,others,elo,gravel,rh,2.9,3.2,2.8,2.91,266914,37071,7414265,4,1
2006-12-16,P09416,Adyar,817,40,1.0,1.0,3,partial,no,1994-12-19,commercial,nosewa,paved,rm,4.6,4.1,4.1,4.25,346796,173398,11559880,4,1
2006-12-16,P09418,Anna Nagar,1903,183,2.0,1.0,5,family,no,1979-12-23,others,nosewr ,no access,rl,4.6,3.9,3.3,3.905,474897,171491,13191580,4,1
2006-12-17,P09414,Velachery,1733,49,2.0,1.0,4,abnormal,yes,1966-12-27,house,allpub,paved,a,2.3,3.1,2.6,2.75,308775,150429,7917300,1,0
2006-12-18,P09413,Chrompet,838,31,1.0,1.0,3,abnormal,no,1981-12-24,others,nosewr ,gravel,rl,4.9,2.5,2.2,3.13,234411,108834,8371810,1,0
2006-12-19,P09409,Chrompet,857,29,1.0,1.0,3,adjland,no,1976-12-26,house,elo,gravel,rh,2.4,3.3,2.2,2.7,191810,22132,7377300,1,0
2006-12-20,P09404,Chrompet,1204,47,2.0,1.0,4,normal sale,yes,1986-12-25,others,nosewr ,paved,rh,2.9,4.1,2.7,3.32,333184,171640,10096480,5,1
2006-12-20,P09405,Chrompet,1275,138,2.0,1.0,4,abnormal,yes,1971-12-29,commercial,nosewr ,paved,rh,3.2,2.6,2.0,2.6,382030,240537,14149250,5,1
2006-12-20,P09406,T Nagar,1695,194,1.0,1.0,4,adjland,yes,1984-12-25,house,nosewr ,gravel,rh,3.9,4.1,3.6,3.815,369855,92464,13209090,5,1
2006-12-20,P09407,Anna Nagar,1669,92,1.0,1.0,4,abnormal,no,1975-12-28,commercial,allpub,paved,rh,2.2,4.0,3.3,3.09,539734,107947,17991120,5,1
2006-12-20,P09403,Velachery,1530,174,2.0,1.0,4,partial,no,1967-12-30,commercial,elo,no access,i,4.0,2.4,2.2,2.74,401494,184470,10851180,5,1
2006-12-21,P09402,Chrompet,747,168,1.0,1.0,2,family,yes,2001-12-22,commercial,allpub,no access,rm,4.9,2.7,2.7,3.36,336707,157130,11223550,2,1
2006-12-21,P09401,Chrompet,1285,187,2.0,1.0,4,adjland,yes,1977-12-28,house,allpub,gravel,rm,5.0,4.4,3.9,4.43,330959,82740,11819950,2,1
2006-12-22,P09398,Velachery,1833,89,3.0,2.0,5,abnormal,yes,1963-01-02,others,nosewa,no access,c,3.8,3.5,3.8,3.67,283708,159586,8865880,3,1
2006-12-22,P09400,Anna Nagar,1733,144,1.0,1.0,4,partial,yes,1969-12-31,house,allpub,gravel,rm,4.7,2.0,2.1,2.985,447305,135547,13554690,3,1
2006-12-22,P09399,Adyar,887,131,1.0,1.0,3,normal sale,no,1991-12-26,others,elo,no access,rh,3.2,2.9,4.4,3.74,251033,7383,7383325,3,1
2006-12-23,P09396,Chrompet,1047,92,1.0,1.0,3,partial,no,1982-12-29,commercial,elo,no access,rm,2.6,4.4,4.7,3.95,308547,106805,11867200,4,1
2006-12-23,P09395,Chrompet,1215,177,2.0,1.0,4,abnormal,yes,1996-12-25,others,nosewa,gravel,rh,3.0,4.1,4.7,3.95,268551,64452,10742050,4,1
2006-12-23,P09394,Adyar,1240,51,2.0,2.0,4,partial,yes,1972-01-01,commercial,allpub,no access,c,2.3,2.3,3.3,2.8,440371,163566,12582025,4,1
2006-12-23,P09397,Anna Nagar,1836,34,2.0,1.0,5,partial,yes,1998-12-25,others,elo,gravel,rh,3.1,2.6,5.0,3.735,487284,71659,14331890,4,1
2006-12-24,P09391,Chrompet,1138,23,1.0,1.0,3,abnormal,yes,1991-12-28,commercial,nosewa,gravel,rh,2.6,4.2,2.0,3.06,372628,220817,13801050,2,1
2006-12-24,P09392,Anna Nagar,1835,52,2.0,1.0,5,normal sale,no,1988-12-28,house,nosewr ,no access,rm,2.2,4.6,3.2,3.2,453793,113448,12605360,2,1
2006-12-25,P09389,Adyar,706,23,1.0,1.0,2,abnormal,no,1981-12-31,others,elo,paved,a,3.9,4.0,4.5,4.22,197132,5055,5054675,2,1
2006-12-25,P09390,Chrompet,988,53,1.0,1.0,3,family,yes,1972-01-03,commercial,allpub,paved,rh,4.9,3.3,3.3,3.78,336550,180295,12019650,2,1
2006-12-26,P09385,Velachery,1836,23,3.0,2.0,5,family,yes,1984-12-31,house,allpub,paved,rh,3.8,4.1,3.3,3.79,343424,93661,10406790,4,1
2006-12-26,P09388,Chrompet,1296,145,2.0,1.0,4,abnormal,yes,1976-01-03,others,elo,paved,rm,3.6,2.3,4.4,3.32,316982,135849,11320770,4,1
2006-12-26,P09386,Velachery,1958,182,3.0,2.0,5,family,no,1971-01-04,others,elo,gravel,i,2.7,3.7,4.4,3.66,340150,130057,10004420,4,1
2006-12-26,P09387,Adyar,713,39,1.0,1.0,2,normal sale,no,1986-12-31,others,nosewa,paved,rl,2.7,4.9,3.2,3.39,237956,69084,7676000,4,1
2006-12-27,P09383,Velachery,1755,78,2.0,1.0,4,adjland,yes,1991-12-31,commercial,allpub,gravel,a,4.7,2.3,3.1,3.14,511550,102310,14615700,2,1
2006-12-27,P09384,Chrompet,965,172,1.0,1.0,3,normal sale,no,1979-01-03,house,nosewa,no access,rh,4.7,2.9,4.5,3.92,197940,85774,6598000,2,1
2006-12-28,P09382,Anna Nagar,1762,3,1.0,1.0,4,adjland,yes,1991-01-01,others,nosewr ,paved,rl,3.7,4.9,2.4,3.48,411112,249604,14682580,3,1
2006-12-28,P09380,Chrompet,973,155,1.0,1.0,3,adjland,yes,1993-12-31,others,nosewr ,no access,rl,4.6,3.6,5.0,4.32,247961,38148,9536960,3,1
2006-12-28,P09381,Anna Nagar,1599,137,1.0,1.0,4,partial,no,1972-01-06,house,allpub,no access,rh,4.1,5.0,2.2,3.565,311797,116924,9743650,3,1
2006-12-29,P09379,Velachery,1673,86,2.0,1.0,4,adjland,no,1962-01-09,house,elo,no access,rl,2.5,4.8,4.0,3.99,288431,127249,8483250,1,0
